Product_ID,Batch_Number,Production_Date,Shift,Inspector_Name,Defect_Type,Pass_Fail,Dimension (mm),Tolerance (mm),Production_Time (mins),Temperature (°C),Pressure (bar),Machine_ID,Material_Used (kg),Energy_Consumption (kWh),Quality_Score (%),Defect_Rate (%),Compliance_Flag,Machine_Downtime (mins),Scrap_Cost (USD),Inspection_Time (mins),Cycle_Time (s),Line_Number
1688474,BN-4035,13-01-2022,Night,Dylan Black,Discoloration,Fail,84.84,0.79,15,68.08,1.9,MID-9326,41.23,320.82,65.48,7.87,Non-Compliant,4,317.74,13,220,3
79361538,BN-4968,13-01-2022,Morning,Lori Heath,No_Defect,Pass,14.05,0.89,119,36.96,6.05,MID-0450,46.13,428.81,65.33,9.94,Compliant,42,173.61,1,36,4
49263510,BN-5979,13-01-2022,Night,Keith Pittman,Size Variation,Fail,29.08,0.93,106,38.3,4.85,MID-6275,7.7,316.55,91.52,9.37,Compliant,26,415.67,5,250,4
10873175,BN-3289,13-01-2022,Evening,Paul Frazier,Crack,Fail,35.05,0.69,45,49.55,2.31,MID-5109,40.72,389.89,67.8,3.58,Compliant,49,329.22,11,79,5
64303925,BN-1242,13-01-2022,Evening,Alexander Lee,No_Defect,Pass,190.44,0.41,106,72.73,8.91,MID-6552,18.47,311.12,66.28,5.98,Compliant,57,186.03,15,56,4
13765828,BN-2636,13-01-2022,Evening,Kelly James,Size Variation,Fail,115.84,0.35,50,85.53,8.16,MID-9051,9.53,4.3,94.38,8.5,Non-Compliant,23,370.85,10,299,2
19729664,BN-7092,14-01-2022,Night,Dawn Cooper,Discoloration,Fail,191.26,0.62,54,98.19,9.4,MID-3108,40.44,398.46,80.09,6.1,Non-Compliant,33,267.22,4,69,5
87577389,BN-2274,14-01-2022,Night,Dr. Melissa Lamb DVM,Size Variation,Pass,105.04,0.46,84,47.47,9.48,MID-1765,31.61,375.25,72.92,2.35,Compliant,7,257.97,14,212,2
93055505,BN-1967,14-01-2022,Morning,Tiffany Matthews,No_Defect,Fail,17.91,0.33,69,70.16,4.27,MID-2002,8.06,219.81,94.55,3.12,Compliant,33,325.43,6,173,5
82492694,BN-5693,14-01-2022,Evening,Thomas Bush,Size Variation,Pass,159.57,0.52,61,58.62,9.16,MID-0052,10.04,423.64,76.34,9.21,Compliant,14,86.15,6,113,2
47118010,BN-5362,14-01-2022,Morning,Barbara Smith,Other,Pass,173.9,0.84,26,42.67,8.64,MID-8801,35.1,16.04,97.05,7.48,Non-Compliant,52,300.66,8,88,2
32040753,BN-1336,14-01-2022,Morning,Robert Proctor,Discoloration,Fail,105.76,0.97,43,90.96,7.74,MID-6088,2.71,140.56,97.63,6.37,Non-Compliant,24,433.29,13,119,3
22758682,BN-8978,14-01-2022,Night,Jerry Harris,Size Variation,Pass,98.03,0.76,57,48.82,8.71,MID-6695,9.73,481.88,96.48,2.48,Non-Compliant,16,333.49,8,97,1
80918912,BN-1185,14-01-2022,Night,Stephen Willis,Size Variation,Fail,69.58,0.13,58,62.68,8.75,MID-8904,35.4,199.3,81.75,7.96,Non-Compliant,29,445.83,7,166,5
63489675,BN-4955,14-01-2022,Night,Jonathan Martinez,Crack,Pass,20.37,0.21,12,61.31,9.52,MID-7722,21.42,134.2,81.2,1.6,Compliant,59,44.18,7,147,4
69930027,BN-8775,14-01-2022,Night,Julie Avila,No_Defect,Fail,117.3,0.88,10,91.58,6.54,MID-2524,19.06,223.33,96.63,1.76,Non-Compliant,26,201.67,7,252,3
48945172,BN-4485,15-01-2022,Morning,John King,Crack,Pass,191.32,0.75,94,24.93,5.87,MID-2427,33.82,180.13,93.21,0.58,Non-Compliant,18,222.11,4,209,1
44666026,BN-7797,15-01-2022,Evening,Janet Clark,No_Defect,Pass,143.75,0.49,83,79.01,5.3,MID-7744,9.05,297.58,91.86,5.48,Non-Compliant,8,408.15,10,42,4
23450073,BN-8544,15-01-2022,Night,Lauren Griffin,Crack,Pass,79.47,0.82,108,84.17,9.9,MID-8425,8.45,116.85,90.44,8.83,Non-Compliant,53,149.41,8,245,2
62791250,BN-1441,15-01-2022,Night,Joshua Rivas,Discoloration,Pass,59.77,0.43,99,27.98,3.18,MID-5117,43.51,314.88,73.49,6.85,Non-Compliant,48,210.59,11,297,3
60976703,BN-4160,15-01-2022,Night,Robert Owens,Size Variation,Fail,57.19,0.14,112,63.13,1.54,MID-0275,24.34,57.73,60.74,4.52,Compliant,59,5.32,1,67,5
17200998,BN-6877,15-01-2022,Night,Kaitlyn Branch,Discoloration,Fail,139.93,0.89,110,74.46,7.9,MID-2108,13.27,63.93,72.57,0.02,Compliant,17,343.54,15,138,1
25185362,BN-7320,15-01-2022,Night,Carrie Vega,Size Variation,Pass,181.57,0.92,36,30.27,5.17,MID-8675,17.69,32.01,90.26,9.22,Compliant,21,145.04,15,261,2
71097954,BN-3970,15-01-2022,Evening,Ryan Gutierrez,Other,Fail,132.7,0.79,105,52.79,6.28,MID-5489,43.6,343.3,77.63,4.29,Non-Compliant,13,53.69,1,49,2
19426419,BN-7358,15-01-2022,Night,Michael Greene,Other,Fail,54.2,0.47,23,55.92,6.56,MID-9927,17.78,337.22,88.38,0.52,Compliant,36,461.5,10,283,4
83067532,BN-2860,15-01-2022,Evening,Adam Clark,Discoloration,Fail,141.79,0.97,36,24.42,6.74,MID-6426,40.04,450.99,76.03,9.49,Compliant,12,199.89,8,241,1
75100742,BN-7117,15-01-2022,Evening,Charles Jackson,Crack,Fail,95.37,0.53,48,85.34,9.65,MID-9659,14.26,151.82,69.57,8.87,Non-Compliant,49,403.22,12,158,4
8993311,BN-0081,15-01-2022,Evening,Marcus Fritz,No_Defect,Pass,25.29,0.17,97,35.2,4.69,MID-8395,42.57,343.45,71.58,4.34,Non-Compliant,56,226.72,3,213,5
88684123,BN-8144,15-01-2022,Morning,Edgar Nash,Other,Fail,182.07,0.72,63,39.58,9.26,MID-2965,28.57,420.26,83.86,9.23,Compliant,49,25.26,8,82,5
69611612,BN-7803,16-01-2022,Morning,Darren Curtis,Size Variation,Pass,58.46,0.71,68,25.69,2.12,MID-3622,31.49,354.18,60.65,7.32,Compliant,37,450.48,1,289,2
16207660,BN-6816,16-01-2022,Night,Russell Robertson,Other,Pass,197.21,0.9,78,64.76,7.26,MID-0581,28.53,388.75,65.81,5.81,Non-Compliant,59,26.91,6,95,1
7541513,BN-6674,16-01-2022,Morning,Jessica Coleman,Size Variation,Fail,131.98,0.3,26,76.19,1.52,MID-9112,28.43,202,73.9,8.97,Non-Compliant,25,2.72,3,154,1
15055200,BN-5411,16-01-2022,Morning,Philip Long,Crack,Pass,124.79,0.63,32,90.58,1.38,MID-5083,3.7,375.54,92.3,7.56,Compliant,11,223.12,8,231,2
35192305,BN-4974,16-01-2022,Evening,Stephanie Vega DDS,Size Variation,Pass,176,0.16,106,70.65,9.95,MID-8825,26.4,426.25,75.99,1.45,Compliant,36,226.06,14,156,1
31045094,BN-7261,16-01-2022,Evening,Richard Davis,Other,Pass,89.21,0.85,68,74.65,5.24,MID-5571,44.29,62.37,93.36,7.31,Compliant,47,57.5,4,284,4
32271751,BN-4497,16-01-2022,Evening,Morgan Day,Crack,Pass,123.66,0.51,111,53.98,2.12,MID-1029,21.31,464.46,99.83,7.7,Non-Compliant,1,126.03,11,109,5
42035572,BN-4373,17-01-2022,Morning,David Meyers,No_Defect,Pass,71.35,0.51,48,31.67,5.42,MID-3254,42.08,425.7,80.66,7.29,Non-Compliant,60,275.67,3,140,3
44852917,BN-2136,17-01-2022,Morning,Russell Duncan,Crack,Fail,171.88,0.87,69,96.96,1.69,MID-2494,28.13,96,72,7.09,Compliant,3,233.25,3,288,1
18942620,BN-0542,17-01-2022,Night,Pamela Ramirez,Crack,Pass,194.09,0.59,56,78.96,1.9,MID-9000,9.09,67.21,98.84,8.18,Compliant,40,411.26,1,254,5
23583320,BN-2915,17-01-2022,Morning,Kevin Lyons,Size Variation,Fail,146.25,0.25,61,60.14,4.6,MID-8042,11.86,113.1,69.91,2.16,Compliant,16,122.14,8,45,1
45602900,BN-6651,17-01-2022,Night,Amy Cruz,Other,Fail,120.26,0.78,21,62.24,5.69,MID-7785,38.1,21.81,67.43,1.05,Non-Compliant,47,393.82,7,293,4
61126480,BN-6017,18-01-2022,Night,Michelle Erickson,Discoloration,Fail,16.54,0.77,64,57.5,3.59,MID-4909,43.76,197.89,79.82,6.38,Compliant,6,8.31,10,227,3
62964517,BN-7902,18-01-2022,Evening,Daniel Lewis,Crack,Pass,54.62,0.84,54,77.44,9.73,MID-5513,48.37,71.83,83.52,7.1,Compliant,54,117.98,9,104,2
37580667,BN-1322,18-01-2022,Night,Katherine Sutton,Crack,Fail,77.59,0.63,42,42.33,6.43,MID-7267,14.06,375.47,63.7,5.39,Non-Compliant,44,270.27,8,180,5
6573546,BN-6761,18-01-2022,Evening,Natalie Myers,Crack,Pass,167.87,0.21,36,66.17,6.49,MID-8406,26.17,222.44,85.99,1.27,Compliant,46,472.75,3,238,4
71214184,BN-5530,18-01-2022,Night,Jay Patterson,No_Defect,Pass,41.38,0.32,88,52.44,6.59,MID-6883,33.7,120.05,92.2,2.04,Non-Compliant,13,392.51,15,265,3
92762664,BN-8967,18-01-2022,Night,Kyle Ross,No_Defect,Pass,24.61,0.33,42,27.89,8.22,MID-7142,40.1,339.53,63.3,7.29,Non-Compliant,47,368.9,11,206,3
23758254,BN-0834,18-01-2022,Evening,Paul Johnson,Discoloration,Fail,105.13,0.64,82,71.5,8.69,MID-6833,0.38,5.82,89.3,4.87,Compliant,2,46.87,9,228,3
71734071,BN-6598,18-01-2022,Evening,Shelley Levine,Discoloration,Fail,71.8,0.54,78,94.61,7.01,MID-9389,12.93,34.44,95.16,7.82,Non-Compliant,28,191.16,7,94,4
97034148,BN-7634,18-01-2022,Morning,Stephanie Mccarthy,Other,Fail,189.66,0.15,72,25.1,4.87,MID-4729,3.67,27.37,71.6,9.96,Non-Compliant,40,489.5,6,114,3
89267172,BN-0438,18-01-2022,Night,Erika Hurley,Size Variation,Pass,175.57,0.74,29,69.68,8.97,MID-6557,18,342.95,69.53,5.58,Compliant,56,158.72,1,226,5
38640148,BN-6922,19-01-2022,Night,Nicholas Rodriguez,Other,Pass,179.11,0.92,111,37.39,3.92,MID-4595,34.23,372.8,89.16,9.5,Non-Compliant,50,387.61,10,118,5
468961,BN-8792,19-01-2022,Morning,Michelle Anderson,Discoloration,Fail,64.51,0.76,63,60.94,6.9,MID-3103,16.59,211.19,83.17,7.09,Compliant,52,112.78,12,160,2
71454399,BN-6846,19-01-2022,Night,Tanya White,Crack,Pass,90.93,0.11,87,90,6.77,MID-6217,7.26,417.02,62.08,2.73,Compliant,44,482.69,12,42,5
10144855,BN-7870,19-01-2022,Morning,Deanna Morris,No_Defect,Pass,87.76,0.12,41,63.78,6.75,MID-8566,18.46,424.62,74.07,6.38,Non-Compliant,31,226.28,5,235,4
18321647,BN-8527,19-01-2022,Evening,Bryan Carr,Discoloration,Fail,177.23,0.3,23,76.91,9.23,MID-5720,4.73,498.9,91.98,2.08,Non-Compliant,59,452.14,2,246,4
48298384,BN-8089,20-01-2022,Evening,Tracy Bauer,Other,Fail,99.03,0.51,84,90.49,1.85,MID-4247,16.57,37.18,89.39,8.14,Compliant,53,397.26,9,299,3
16864474,BN-7622,20-01-2022,Evening,Tracey Garza,Crack,Fail,33.19,0.26,37,70.02,7.7,MID-2101,3.15,53.2,63.35,1.16,Compliant,45,37.97,8,43,2
59221166,BN-2489,20-01-2022,Morning,Karen Short,Other,Fail,149.91,0.25,18,88.34,6.61,MID-2554,22.35,92.69,77.31,5.99,Compliant,16,87.07,1,252,2
69728457,BN-5929,20-01-2022,Night,April Sutton,Discoloration,Pass,99.92,0.26,95,31.93,3.27,MID-2519,6.06,153.22,62.09,4.18,Compliant,30,324.09,3,226,5
76377853,BN-6682,20-01-2022,Night,Gregory Gill,Size Variation,Pass,17.56,0.39,97,81.69,4.37,MID-9848,11.41,11.17,73.58,8.18,Compliant,45,139.89,11,234,3
70742701,BN-7637,20-01-2022,Evening,Joshua Miller,Discoloration,Fail,140.11,0.16,118,57.56,6.16,MID-6226,33.31,10.02,70.88,5,Non-Compliant,7,152.06,1,295,2
93057608,BN-9252,20-01-2022,Morning,John Wilson,Crack,Fail,162.53,0.96,16,90.86,1.99,MID-8629,44.09,9.46,65.8,5.55,Compliant,48,487.68,11,170,3
81160501,BN-5135,20-01-2022,Night,Curtis Welch,Discoloration,Pass,94.4,0.65,89,43.22,2.24,MID-8339,31.8,288.25,80.07,9.32,Compliant,22,423.99,12,33,2
19044323,BN-9578,20-01-2022,Evening,Sandra Carroll,No_Defect,Pass,59.23,0.28,87,99,2.26,MID-3907,38.29,229.42,65.65,8.37,Non-Compliant,19,437.86,13,47,5
94316759,BN-8298,20-01-2022,Evening,Juan Coffey,Discoloration,Pass,48.23,0.75,68,78.52,2.79,MID-0070,43.3,209.08,68.83,5.13,Non-Compliant,56,435.23,8,80,1
62566278,BN-8477,21-01-2022,Night,Luis Mendoza,Crack,Pass,36.47,0.84,100,36.43,8.43,MID-1195,22.9,237.25,89.75,9.12,Non-Compliant,15,304.7,3,221,3
28523277,BN-5621,21-01-2022,Evening,Mathew Roman,Crack,Fail,63.83,0.42,88,76.2,1.32,MID-9847,7.2,156.07,82.73,5.94,Non-Compliant,34,358.68,1,289,3
56676334,BN-9815,21-01-2022,Morning,Kathy Bailey,Crack,Pass,118.58,0.17,71,36.81,9.08,MID-5228,33.47,31.61,86.17,6.07,Compliant,1,92.13,5,85,2
73906032,BN-2974,21-01-2022,Morning,Natalie Hale,No_Defect,Fail,10.97,0.35,81,30.05,1.66,MID-9921,9.13,302.74,66.47,3.25,Non-Compliant,51,473.53,6,106,4
12502394,BN-9563,21-01-2022,Evening,Ryan Frank,No_Defect,Fail,168.04,0.19,75,65.08,4.34,MID-9509,11.65,93.22,74.7,5.82,Compliant,42,328.32,3,147,4
49184563,BN-7790,21-01-2022,Night,Michael Sharp,No_Defect,Pass,109.44,0.83,59,70.05,4.83,MID-6224,42.43,393.57,62.06,1.05,Compliant,60,471.09,9,126,2
70886979,BN-2539,21-01-2022,Evening,Julie Knight,No_Defect,Pass,178.28,0.69,35,37.49,7.2,MID-5965,47.92,330.05,68.81,8.44,Compliant,19,122.64,5,222,4
74735402,BN-9741,21-01-2022,Night,Nathaniel Davis,Other,Fail,20.12,0.47,20,90.96,8.97,MID-9789,15.3,400.42,97.54,8.73,Compliant,55,44.24,14,176,4
250405,BN-0049,21-01-2022,Evening,Michelle Collins,Size Variation,Pass,98.97,0.71,41,92.91,3.66,MID-6467,41.42,106.17,75.73,5.18,Non-Compliant,41,294.29,2,89,1
21639685,BN-6821,21-01-2022,Morning,Madeline Mason,Crack,Fail,174.15,0.43,92,49.91,6.32,MID-2945,33.3,477.19,97.19,3.09,Non-Compliant,34,262.12,13,85,5
37359195,BN-4800,21-01-2022,Night,Danielle Williams,Size Variation,Pass,122.55,0.22,107,31.97,5.75,MID-1715,46.91,28.15,63.27,4.99,Compliant,23,422.2,6,260,2
15587541,BN-0754,22-01-2022,Evening,Michelle Wyatt,Discoloration,Pass,127.03,0.52,93,49.7,1.96,MID-8173,11.4,198.41,62.26,4.61,Compliant,5,158.22,11,50,1
8035134,BN-4544,22-01-2022,Night,Joseph Morales,Other,Fail,161.06,0.48,14,20.53,7.35,MID-3327,24.82,388.3,81.73,1.82,Compliant,54,140.14,10,265,2
85334441,BN-1972,22-01-2022,Morning,Marcia Mitchell,Crack,Fail,148.23,0.27,16,89.98,5.46,MID-7365,35.6,347.02,91.25,3.87,Compliant,59,85.7,15,218,1
86475303,BN-7555,22-01-2022,Evening,Brian Gallagher,Other,Pass,71.36,0.89,76,40.68,8.29,MID-6102,41.19,4,91.22,5.72,Non-Compliant,58,375.05,12,248,5
48107778,BN-6323,22-01-2022,Evening,Janet Cobb,No_Defect,Fail,113.41,0.48,103,46.67,6.58,MID-0786,22.43,427.98,93.8,5.01,Compliant,47,105.55,3,170,2
6777111,BN-3831,22-01-2022,Morning,Eric Howard,Crack,Fail,154.66,0.85,21,58.34,8.41,MID-2992,41.28,209.28,60.7,4.6,Compliant,24,466.26,15,237,5
13126377,BN-2699,22-01-2022,Night,Nicole Alexander,No_Defect,Pass,193.34,0.57,21,94.59,5.26,MID-8726,29.94,79.14,63.98,5.17,Compliant,44,289.37,7,205,1
91686022,BN-3546,22-01-2022,Evening,Ryan Braun,Discoloration,Pass,48.12,0.6,43,49.8,8.46,MID-4541,18.89,122.83,75.6,4.73,Non-Compliant,38,350.51,13,145,1
37324551,BN-4794,22-01-2022,Morning,Deanna Guzman,Other,Fail,188.73,0.39,94,59.63,8.96,MID-2896,35.85,93.13,70.15,1.31,Compliant,44,442.31,9,74,3
61849839,BN-2726,22-01-2022,Night,Heather Bradford,Other,Pass,93.77,0.19,72,94.95,7.61,MID-0547,46.81,451.3,95.8,9.79,Non-Compliant,9,225.22,5,262,1
